analysis,year,stratum,A_records,B_records,UCF,CI_lo,CI_hi,note
multi_label_sensitivity,2015,K80.4,66,51,0.7727272727272727,0.6583054463536169,0.8571477043662696,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2015,K80.1,155,104,0.6709677419354839,0.5936466139682639,0.7400194225532736,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2015,K80.8,3,3,1.0,0.4385029682449545,1.0,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2016,1,1692,992,0.5862884160756501,0.5626520114311906,0.6095338957367233,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2016,2,48,37,0.7708333333333334,0.6346073590999655,0.8669217373308876,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2016,3+,2,2,1.0,0.3423802275066531,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2016,K80.4,58,49,0.8448275862068966,0.730660191401075,0.9161550804698196,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2016,K80.5,295,175,0.5932203389830508,0.5363142648923188,0.6477298105751356,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2016,K80.2,1001,503,0.5024975024975025,0.4715733337493554,0.5334025755904802,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2016,K80.3,111,104,0.9369369369369369,0.8755233588904047,0.9691193424135679,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2016,K80.1,156,112,0.717948717948718,0.642753175634603,0.7826683670721649,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2016,K80.0,173,129,0.7456647398843931,0.6759221529960465,0.8047343659381506,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2017,1,1615,931,0.5764705882352941,0.5522184305427986,0.6003598214250848,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2017,2,48,37,0.7708333333333334,0.6346073590999655,0.8669217373308876,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2017,3+,5,5,1.0,0.5655175352168252,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2017,K80.2,944,454,0.4809322033898305,0.4492015458921327,0.512817418708982,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2017,K80.5,284,163,0.573943661971831,0.5158215495733235,0.6300921077993039,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2017,K80.0,136,112,0.8235294117647058,0.7508362271277041,0.87844782598586,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2017,K80.4,63,54,0.8571428571428571,0.7502543407837413,0.9229805166527931,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2017,K80.1,172,122,0.7093023255813954,0.6374586314040578,0.772001119913284,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2017,K80.3,127,115,0.905511811023622,0.8420914548255637,0.9451208013535101,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2018,1,1582,941,0.5948166877370418,0.5704237683757463,0.6187502491979235,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2018,2,37,27,0.7297297297297297,0.5702183167528574,0.8460253848895091,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2018,3+,1,1,1.0,0.20654931437723742,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2018,K80.5,287,175,0.6097560975609756,0.552226014264262,0.6643868450421547,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2018,K80.2,916,472,0.5152838427947598,0.4829232166792987,0.5475168115793732,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2018,K80.3,116,97,0.8362068965517241,0.7582995878695619,0.8925603129324051,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2018,K80.1,179,122,0.6815642458100558,0.6101153332571297,0.7453839086502708,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2018,K80.0,108,92,0.8518518518518519,0.7728286547321882,0.9067046847054198,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2018,K80.4,53,40,0.7547169811320755,0.6243344231264808,0.8506709789194319,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2019,1,1747,1010,0.5781339439038351,0.5548291841735769,0.6010958418329944,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2019,2,44,36,0.8181818181818182,0.6803944911281532,0.9048719428437227,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2019,3+,3,3,1.0,0.4385029682449545,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2019,K80.3,138,125,0.9057971014492754,0.8454945222747072,0.9441194659851176,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2019,K80.2,958,449,0.46868475991649267,0.43727312379060873,0.5003465333267237,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2019,K80.1,217,147,0.6774193548387096,0.612602798755777,0.7360636174650919,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2019,K80.5,339,215,0.6342182890855457,0.5817084762839879,0.6837203324517517,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2019,K80.4,78,63,0.8076923076923077,0.7066518728093648,0.8798479365985157,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2019,K80.0,112,91,0.8125,0.7303087134885468,0.8739654445946133,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2019,K80.8,2,1,0.5,0.09453120573423071,0.9054687942657693,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2020,1,1848,1008,0.5454545454545454,0.5226815687003987,0.5680389404445834,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2020,2,57,43,0.7543859649122807,0.628977037672441,0.847671625297096,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2020,3+,1,1,1.0,0.20654931437723742,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2020,K80.2,1023,469,0.458455522971652,0.4281342587683079,0.4890876265871776,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2020,K80.5,346,183,0.5289017341040463,0.47627690893360264,0.5808918442136644,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2020,K80.4,73,59,0.8082191780821918,0.7034449738686679,0.882176391090128,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2020,K80.1,254,160,0.6299212598425197,0.5690203880835804,0.6869508599145826,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2020,K80.3,159,137,0.8616352201257862,0.7993901352081454,0.9068182274093091,multilabel subtype rows are non-mutually-exclusive; do not sum
