disease,scheme,year,std_UCF,CI_lo,CI_hi,variance,effective_weight_sum,supported_cells
C18,own_disease_2018_2024_age_sex_mention_distribution,2015,0.8680426024024364,0.8650951449481337,0.870990059856739,2.261428947554269e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2016,0.8663605029194917,0.8633724363886073,0.8693485694503762,2.324172634577188e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2017,0.8667644563741336,0.8637835170928537,0.8697453956554134,2.313098448218825e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2018,0.8618662107425231,0.8588319142799211,0.8649005072051251,2.3966459347560498e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2019,0.8602173096291184,0.8571499336556848,0.8632846856025519,2.449186631194599e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2020,0.8370243171257763,0.8337736947560955,0.8402749394954571,2.750558566813062e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2021,0.837499557375047,0.834246129091778,0.840752985658316,2.7553091405598674e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2022,0.8342915135166385,0.8310069138843171,0.83757611314896,2.808359731530143e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2023,0.8463334020243121,0.8431429358533117,0.8495238681953124,2.6496965817101977e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2024,0.8468412873764066,0.8436756723804794,0.8500069023723339,2.608579316545023e-06,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,1999,0.3240769504356099,0.32202495994208796,0.32612894092913186,1.096070643873502e-06,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2000,0.32305255569600466,0.3210241818084286,0.3250809295835807,1.070986210901799e-06,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2001,0.3253365384486347,0.3233278500014375,0.3273452268958319,1.0502991664680305e-06,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2002,0.3249250152920022,0.3229495114606545,0.3269005191233499,1.015882806036429e-06,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2003,0.32453444369533296,0.3225801312660499,0.32648875612461603,9.942047769810203e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2004,0.32303248081510283,0.3210734520165341,0.32499150961367157,9.990092236624564e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2005,0.32015797457182993,0.3182410793709433,0.32207486977271654,9.564991699245461e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2006,0.3127161894226195,0.31080290693172924,0.3146294719135097,9.528972016730538e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2007,0.3073645523153557,0.3054646784689533,0.3092644261617581,9.395878363816608e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2008,0.3009438370841245,0.29906696789248904,0.3028207062757599,9.169715645851198e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2009,0.2966172973445837,0.29474041764370423,0.29849417704546316,9.169818334999553e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2010,0.29426261419972205,0.2924034490622399,0.2961217793372042,8.997540109404648e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2011,0.30823870071890686,0.3063768917247668,0.3101005097130469,9.023148507551054e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2012,0.30634765763764166,0.304498714332488,0.30819660094279533,8.898873765287061e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2013,0.30585444238959447,0.3040317253532708,0.30767715942591817,8.648212709560013e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2014,0.31164098152891306,0.30980538076430264,0.3134765822935235,8.770903183669395e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2015,0.3141257970224219,0.3123174767135762,0.3159341173312676,8.512136451956787e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2016,0.30852437730417986,0.30674782966074476,0.31030092494761496,8.215643298091352e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2017,0.30829878496317664,0.30656316374687903,0.31003440617947425,7.841474923111431e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2018,0.30745354177779316,0.3057377312032646,0.30916935235232174,7.663488982882396e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2019,0.3100504092152882,0.3083523969068434,0.311748421523733,7.505325384292856e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2020,0.26221642649213195,0.2608379291460146,0.2635949238382493,4.946519505550976e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2021,0.25617602061063427,0.254823889384143,0.2575281518371255,4.7591078031361104e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2022,0.2736018391779279,0.27217060098900553,0.2750330773668503,5.332264560156694e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2023,0.2814326092977689,0.2799244992842979,0.28294071931123993,5.92043891277489e-07,1.0,14
E10_E14,own_disease_2018_2024_age_sex_mention_distribution,2024,0.27904596936525555,0.2775426270720649,0.2805493116584462,5.883064479632866e-07,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,1999,0.2292879812725593,0.22561786942070094,0.23295809312441768,3.506278895551633e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2000,0.22961094775406327,0.22610278303700912,0.2331191124711174,3.2036702629070324e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2001,0.23835784687882886,0.23489786272481836,0.24181783103283935,3.116277162120925e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2002,0.23785170771517677,0.2344976444943323,0.24120577093602125,2.9283996484333833e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2003,0.2401264006461796,0.23687640479393388,0.24337639649842532,2.7494983964010957e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2004,0.23603994627833302,0.23285541854146086,0.2392244740152052,2.6398419686870296e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2005,0.23595220179508578,0.23283914200940417,0.23906526158076738,2.5226835769543924e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2006,0.2542235548060285,0.2510220606222157,0.25742504898984125,2.6680458686451033e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2007,0.25470883625797763,0.25150623339911865,0.2579114391168366,2.6698940731912855e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2008,0.26588518280914375,0.2626139680007855,0.269156397617502,2.785518097256908e-06,1.0,14
