disease,year,M_record_axis_mention,U_main_M_and_UCD,U_official_all_UCD,UCF,CI_lo,CI_hi,orphan_UCD
E10_E14,2023,339342,95190,95190,0.2805134642926605,0.2790044229861057,0.2820274748570379,0
E10_E14,2024,340871,94445,94445,0.27706962457938633,0.2755697080101378,0.2785745657368585,0
N18,1999,59839,13340,13992,0.22293153294674042,0.21961456651944936,0.22628407078343485,652
N18,2000,62605,14201,14482,0.2268349173388707,0.22357127633475793,0.23013207924488308,281
N18,2001,65703,15458,15692,0.2352708399920856,0.23204302825064274,0.2385296057755803,234
N18,2002,68510,16157,16402,0.23583418479054152,0.23267021352977485,0.23902777874007752,245
N18,2003,71928,17208,17470,0.23923923923923923,0.23613548095711936,0.2423708489347027,262
N18,2004,73191,17322,17643,0.23666844284133295,0.23360305526996533,0.23976147108553633,321
N18,2005,75248,17809,18066,0.2366707420795237,0.23364734375634116,0.23972102528634437,257
N18,2006,74379,18966,18966,0.2549913281974751,0.2518717156329577,0.2581362474242546,0
N18,2007,73426,18795,18795,0.2559719990194209,0.252828262183303,0.2591412683501824,0
N18,2008,72330,19291,19291,0.26670814323240705,0.2634977049225425,0.2699433605680472,0
N18,2009,71686,19705,19705,0.2748793348771029,0.2716232745907528,0.27815952108554065,0
N18,2010,71508,20502,20502,0.2867091793925155,0.28340615371047123,0.2900351201019868,0
N18,2011,128398,23550,23550,0.18341407187027836,0.18130672257004632,0.18554036407338945,0
N18,2012,135632,24777,24777,0.18267812905509023,0.18063072922972956,0.1847435031693561,0
N18,2013,83375,26229,26229,0.3145907046476762,0.31144736673318435,0.31775112704452857,0
N18,2014,86401,27838,27838,0.32219534496128516,0.3190872865046178,0.32531921339454484,0
N18,2015,94231,30375,30375,0.3223461493563689,0.31936932267588186,0.32533746006295533,0
N18,2016,100472,32131,32131,0.3198005414443825,0.31692355720801396,0.32269130469050117,0
N18,2017,106271,33336,33336,0.3136885886083692,0.3109057092348725,0.31648493697612373,0
N18,2018,111104,34748,34748,0.31275201612903225,0.3100324404479782,0.31548453968864926,0
N18,2019,115937,35959,35959,0.3101598281825474,0.30750356617358554,0.312828670110602,0
N18,2020,136331,36880,36880,0.2705180773265068,0.2681665004242499,0.2728825862914207,0
N18,2021,139623,37306,37306,0.26719093559084106,0.26487635981992586,0.2695183215983078,0
N18,2022,131096,38668,38668,0.2949594190516873,0.29249690803825207,0.29743394617344915,0
N18,2023,124497,37460,37460,0.300890784516896,0.298349275641579,0.30344458037506616,0
N18,2024,127112,38138,38138,0.3000346151425515,0.29752139537573014,0.3025599208741539,0
A40_A41,1999,139086,30593,30680,0.21995743640625226,0.21778830524977538,0.22214203629811347,87
A40_A41,2000,137393,31219,31224,0.22722409438617688,0.22501599380644863,0.22944744797168848,5
A40_A41,2001,139909,32235,32238,0.23039975984389854,0.22820070558667985,0.2326136184351556,3
A40_A41,2002,143232,33861,33865,0.23640666890080428,0.23421342047281507,0.2386140560096783,4
A40_A41,2003,145403,34066,34069,0.23428677537602388,0.2321167627860715,0.23647082755861532,3
A40_A41,2004,145756,33365,33373,0.22890995910974504,0.22676027110037686,0.2310739361196824,8
A40_A41,2005,152706,34131,34136,0.22350791717417784,0.22142542254139128,0.2256043222784871,5
A40_A41,2006,152415,34234,34234,0.22461043860512417,0.2225222729059236,0.22671248575952568,0
A40_A41,2007,152558,34828,34828,0.22829350148795868,0.22619413974144884,0.23040654620152462,0
A40_A41,2008,159403,35927,35927,0.22538471672427746,0.22334016226411962,0.22744250679330352,0
A40_A41,2009,157404,35639,35639,0.22641737185840258,0.22435654906413066,0.22849154794423004,0
A40_A41,2010,159642,34812,34812,0.21806291577404444,0.21604412388978367,0.22009527581252944,0
A40_A41,2011,164805,35748,35748,0.21691089469372896,0.21492770650727858,0.21890727968601806,0
A40_A41,2012,165092,35842,35842,0.21710319094807742,0.21512108030194216,0.21909846651021392,0
