year,destination,ucd,raw_n,gap_denominator,raw_probability
2001,OTHER,Q613,1,1251,0.0007993605115907274
2001,OTHER,Y467,1,1251,0.0007993605115907274
2001,OTHER,Y831,1,1251,0.0007993605115907274
2001,OTHER,Y836,1,1251,0.0007993605115907274
2001,OTHER,Y839,1,1251,0.0007993605115907274
2001,OTHER,Y841,1,1251,0.0007993605115907274
2002,OTHER,D570,2,1189,0.001682085786375105
2002,OTHER,D571,1,1189,0.0008410428931875525
2002,OTHER,D589,1,1189,0.0008410428931875525
2002,OTHER,D619,1,1189,0.0008410428931875525
2002,OTHER,D649,1,1189,0.0008410428931875525
2002,OTHER,D689,2,1189,0.001682085786375105
2002,OTHER,D869,1,1189,0.0008410428931875525
2002,OTHER,E222,1,1189,0.0008410428931875525
2002,OTHER,E340,1,1189,0.0008410428931875525
2002,OTHER,E668,1,1189,0.0008410428931875525
2002,OTHER,E669,9,1189,0.007569386038687973
2002,OTHER,E780,1,1189,0.0008410428931875525
2002,OTHER,E785,3,1189,0.002523128679562658
2002,OTHER,E86,3,1189,0.002523128679562658
2002,OTHER,E870,1,1189,0.0008410428931875525
2002,OTHER,E872,1,1189,0.0008410428931875525
2002,OTHER,E889,1,1189,0.0008410428931875525
2002,OTHER,F03,14,1189,0.011774600504625737
2002,OTHER,F101,5,1189,0.004205214465937763
2002,OTHER,F102,3,1189,0.002523128679562658
2002,OTHER,F191,1,1189,0.0008410428931875525
2002,OTHER,F329,1,1189,0.0008410428931875525
2002,OTHER,G20,6,1189,0.005046257359125316
2002,OTHER,G309,19,1189,0.0159798149705635
2002,OTHER,G319,1,1189,0.0008410428931875525
2002,OTHER,G35,1,1189,0.0008410428931875525
2002,OTHER,G378,1,1189,0.0008410428931875525
2002,OTHER,G459,1,1189,0.0008410428931875525
2002,OTHER,G709,1,1189,0.0008410428931875525
2002,OTHER,G710,2,1189,0.001682085786375105
2002,OTHER,G809,1,1189,0.0008410428931875525
2002,OTHER,G92,1,1189,0.0008410428931875525
2002,OTHER,G934,3,1189,0.002523128679562658
2002,OTHER,G939,1,1189,0.0008410428931875525
2002,OTHER,G950,1,1189,0.0008410428931875525
2002,OTHER,G952,1,1189,0.0008410428931875525
2002,OTHER,K221,1,1189,0.0008410428931875525
2002,OTHER,K223,1,1189,0.0008410428931875525
2002,OTHER,K225,1,1189,0.0008410428931875525
2002,OTHER,K519,1,1189,0.0008410428931875525
2002,OTHER,K529,2,1189,0.001682085786375105
2002,OTHER,K550,6,1189,0.005046257359125316
2002,OTHER,K551,1,1189,0.0008410428931875525
2002,OTHER,K559,8,1189,0.00672834314550042
2002,OTHER,K562,1,1189,0.0008410428931875525
2002,OTHER,K563,15,1189,0.012615643397813289
2002,OTHER,K566,3,1189,0.002523128679562658
2002,OTHER,K578,2,1189,0.001682085786375105
2002,OTHER,K625,1,1189,0.0008410428931875525
2002,OTHER,K631,1,1189,0.0008410428931875525
2002,OTHER,K639,1,1189,0.0008410428931875525
2002,OTHER,K660,2,1189,0.001682085786375105
2002,OTHER,K661,1,1189,0.0008410428931875525
2002,OTHER,K668,1,1189,0.0008410428931875525
2002,OTHER,K729,5,1189,0.004205214465937763
2002,OTHER,K750,1,1189,0.0008410428931875525
2002,OTHER,K766,1,1189,0.0008410428931875525
2002,OTHER,K767,3,1189,0.002523128679562658
2002,OTHER,K769,1,1189,0.0008410428931875525
2002,OTHER,K85,40,1189,0.0336417157275021
2002,OTHER,K860,3,1189,0.002523128679562658
2002,OTHER,K861,5,1189,0.004205214465937763
2002,OTHER,L309,1,1189,0.0008410428931875525
2002,OTHER,M069,1,1189,0.0008410428931875525
