analysis,scenario,comparison,start_year,end_year,year,group,A_records,B_records,denominator_records,UCF,UCF_CI_lo,UCF_CI_hi,start_weight,end_weight,start_UCF,end_UCF,composition_component,selection_component,total_change,composition_total,selection_total,decomposition_residual,excluded_A_records,excluded_B_records,metric,metric_value,note
entity_status,raw_entity_axis_status,annual,,,2004,Part_II_only,922,55,922,0.0596529284164859,0.046115012763751025,0.07684497972319332,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2004,Both,17,15,17,0.8823529411764706,0.6566364940511412,0.9671202262362074,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2004,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2004,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2005,Part_I_only,1151,985,1151,0.8557775847089487,0.8342975291633392,0.8748907267175587,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2005,Part_II_only,925,46,925,0.04972972972972973,0.03748839836244382,0.06569547431091796,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2005,Both,11,10,11,0.9090909090909091,0.6226415635484044,0.9837678271141151,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2005,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2005,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2006,Part_I_only,1096,943,1096,0.8604014598540146,0.8386219469995211,0.879663396459961,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2006,Part_II_only,841,58,841,0.06896551724137931,0.05372663164293609,0.0881241944138008,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2006,Both,10,9,10,0.9,0.5958499732047616,0.9821237869049271,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2006,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2006,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2007,Part_I_only,1103,953,1103,0.8640072529465095,0.8425104511247382,0.8829773715446187,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2007,Part_II_only,750,51,750,0.068,0.05209614530686504,0.08830666430547972,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
