"panel","year","destination","estimate","lo","hi","count","code","interval_type","bootstrap_reps","simultaneous_excludes_zero"
"A/B",2012,"DIGESTIVE_OTHER",0.0306781462203626,0.0180631590807366,0.0432931333599886,23,NA,"pointwise annual 95% CI",NA,NA
"A/B",2012,"EXTERNAL",0.0420324557051406,0.0274048088459552,0.0566601025643261,29,NA,"pointwise annual 95% CI",NA,NA
"A/B",2012,"INFECTIOUS_PARASITIC",0.0685166819884409,0.0498551258202536,0.0871782381566281,48,NA,"pointwise annual 95% CI",NA,NA
"A/B",2012,"NEOPLASMS",0.144431737304598,0.118380539104858,0.170482935504338,102,NA,"pointwise annual 95% CI",NA,NA
"A/B",2012,"OTHER",0.238538085497218,0.207346687911216,0.26972948308322,175,NA,"pointwise annual 95% CI",NA,NA
"A/B",2012,"OTHER_GALLBLADDER_BILIARY",0.0204259196526557,0.00976267142301743,0.031089167882294,14,NA,"pointwise annual 95% CI",NA,NA
"A/B",2012,"RESPIRATORY",0.0949554409612431,0.0733650073881154,0.116545874534371,67,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"CIRCULATORY",0.31263930956045,0.278673910773699,0.3466047083472,237,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"DIABETES_NUTRITIONAL",0.0390402984348366,0.0244267072225981,0.0536538896470751,27,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"DIGESTIVE_OTHER",0.058775127213347,0.0419374385157813,0.0756128159109126,45,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"EXTERNAL",0.0302254730481843,0.0180560856259615,0.042394860470407,26,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"INFECTIOUS_PARASITIC",0.065279631772645,0.0468749952471716,0.0836842682981183,47,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"NEOPLASMS",0.133269400583827,0.107819513027181,0.158719288140473,92,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"OTHER",0.258380413198239,0.227169184420365,0.289591641976113,204,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"OTHER_GALLBLADDER_BILIARY",0.0232782073228012,0.0123832622768302,0.0341731523687722,18,NA,"pointwise annual 95% CI",NA,NA
"A/B",2013,"RESPIRATORY",0.07911213886567,0.059128416131759,0.0990958615995809,57,NA,"pointwise annual 95% CI",NA,NA
