"panel","module","year","estimate","note"
"B","Destinations",2024,1,"effective weight sum"
"C","primary_2018_2024",1999,0,"empirical minus direct"
"C","primary_2018_2024",2000,0,"empirical minus direct"
"C","primary_2018_2024",2001,0,"empirical minus direct"
"C","primary_2018_2024",2002,0,"empirical minus direct"
"C","primary_2018_2024",2003,0,"empirical minus direct"
"C","primary_2018_2024",2004,0,"empirical minus direct"
"C","primary_2018_2024",2005,0,"empirical minus direct"
"C","primary_2018_2024",2006,0,"empirical minus direct"
"C","primary_2018_2024",2007,0,"empirical minus direct"
"C","primary_2018_2024",2008,0,"empirical minus direct"
"C","primary_2018_2024",2009,0,"empirical minus direct"
"C","primary_2018_2024",2010,0,"empirical minus direct"
"C","primary_2018_2024",2011,0,"empirical minus direct"
"C","primary_2018_2024",2012,0,"empirical minus direct"
"C","primary_2018_2024",2013,0,"empirical minus direct"
"C","primary_2018_2024",2014,0,"empirical minus direct"
"C","primary_2018_2024",2015,0,"empirical minus direct"
"C","primary_2018_2024",2016,0,"empirical minus direct"
"C","primary_2018_2024",2017,0,"empirical minus direct"
"C","primary_2018_2024",2018,0,"empirical minus direct"
"C","primary_2018_2024",2019,0,"empirical minus direct"
"C","primary_2018_2024",2020,0,"empirical minus direct"
"C","primary_2018_2024",2021,0,"empirical minus direct"
"C","primary_2018_2024",2022,0,"empirical minus direct"
"C","primary_2018_2024",2023,0,"empirical minus direct"
"C","primary_2018_2024",2024,0,"empirical minus direct"
"C","sensitivity_1999",1999,0,"empirical minus direct"
"C","sensitivity_1999",2000,0,"empirical minus direct"
"C","sensitivity_1999",2001,0,"empirical minus direct"
"C","sensitivity_1999",2002,0,"empirical minus direct"
"C","sensitivity_1999",2003,0,"empirical minus direct"
"C","sensitivity_1999",2004,0,"empirical minus direct"
"C","sensitivity_1999",2005,0,"empirical minus direct"
"C","sensitivity_1999",2006,0,"empirical minus direct"
"C","sensitivity_1999",2007,0,"empirical minus direct"
"C","sensitivity_1999",2008,0,"empirical minus direct"
"C","sensitivity_1999",2009,0,"empirical minus direct"
"C","sensitivity_1999",2010,0,"empirical minus direct"
"C","sensitivity_1999",2011,0,"empirical minus direct"
"C","sensitivity_1999",2012,0,"empirical minus direct"
"C","sensitivity_1999",2013,0,"empirical minus direct"
"C","sensitivity_1999",2014,0,"empirical minus direct"
"C","sensitivity_1999",2015,0,"empirical minus direct"
"C","sensitivity_1999",2016,0,"empirical minus direct"
"C","sensitivity_1999",2017,0,"empirical minus direct"
"C","sensitivity_1999",2018,0,"empirical minus direct"
"C","sensitivity_1999",2019,0,"empirical minus direct"
"C","sensitivity_1999",2020,0,"empirical minus direct"
"C","sensitivity_1999",2021,0,"empirical minus direct"
"C","sensitivity_1999",2022,0,"empirical minus direct"
"C","sensitivity_1999",2023,0,"empirical minus direct"
"C","sensitivity_1999",2024,0,"empirical minus direct"
"C","sensitivity_full_period",1999,0,"empirical minus direct"
"C","sensitivity_full_period",2000,0,"empirical minus direct"
"C","sensitivity_full_period",2001,0,"empirical minus direct"
"C","sensitivity_full_period",2002,0,"empirical minus direct"
"C","sensitivity_full_period",2003,0,"empirical minus direct"
"C","sensitivity_full_period",2004,0,"empirical minus direct"
"C","sensitivity_full_period",2005,0,"empirical minus direct"
"C","sensitivity_full_period",2006,0,"empirical minus direct"
"C","sensitivity_full_period",2007,0,"empirical minus direct"
"C","sensitivity_full_period",2008,0,"empirical minus direct"
"C","sensitivity_full_period",2009,0,"empirical minus direct"
"C","sensitivity_full_period",2010,0,"empirical minus direct"
"C","sensitivity_full_period",2011,0,"empirical minus direct"
"C","sensitivity_full_period",2012,0,"empirical minus direct"
"C","sensitivity_full_period",2013,0,"empirical minus direct"
"C","sensitivity_full_period",2014,0,"empirical minus direct"
"C","sensitivity_full_period",2015,0,"empirical minus direct"
"C","sensitivity_full_period",2016,0,"empirical minus direct"
"C","sensitivity_full_period",2017,0,"empirical minus direct"
"C","sensitivity_full_period",2018,0,"empirical minus direct"
"C","sensitivity_full_period",2019,0,"empirical minus direct"
"C","sensitivity_full_period",2020,0,"empirical minus direct"
"C","sensitivity_full_period",2021,0,"empirical minus direct"
"C","sensitivity_full_period",2022,0,"empirical minus direct"
"C","sensitivity_full_period",2023,0,"empirical minus direct"
"C","sensitivity_full_period",2024,0,"empirical minus direct"
